file_path,thumbnail,width,height,page_no,set_key
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f028-i08-p0008.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f028-i08-p0008.jpg,2048,1540,8,dra037-s01-b002-f028-i08
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f028-i08-p0009.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f028-i08-p0009.jpg,2048,1540,9,dra037-s01-b002-f028-i08
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f028-i08-p0010.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f028-i08-p0010.jpg,2048,1534,10,dra037-s01-b002-f028-i08
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f028-i08-p0011.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f028-i08-p0011.jpg,2048,1534,11,dra037-s01-b002-f028-i08
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f028-i08-p0012.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f028-i08-p0012.jpg,2048,1534,12,dra037-s01-b002-f028-i08
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f028-i08-p0013.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f028-i08-p0013.jpg,2048,1534,13,dra037-s01-b002-f028-i08
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f028-i08-p0014.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f028-i08-p0014.jpg,1357,2048,14,dra037-s01-b002-f028-i08
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f029-i01-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f029-i01-p0001.jpg,1581,2048,1,dra037-s01-b002-f029-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f029-i02-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f029-i02-p0001.jpg,2048,1559,1,dra037-s01-b002-f029-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f029-i02-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f029-i02-p0002.jpg,2048,1546,2,dra037-s01-b002-f029-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f029-i02-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f029-i02-p0003.jpg,2048,1529,3,dra037-s01-b002-f029-i02
